nota_finala_romana,nota_finala_limba_materna,nota_finala_matematica,media
6.30,,7.85,7.07
6.30,,8.90,7.60
6.30,7.75,5.70,6.58
6.30,8.45,7.45,7.40
6.35,,4.80,5.57
6.35,,7.70,7.02
6.35,4.65,4.50,5.16
6.35,8.95,6.40,7.23
6.40,,3.50,4.95
6.40,,5.45,5.92
6.40,3.60,6.50,5.50
6.40,9.15,5.55,7.03
6.45,,1.60,4.02
6.45,,3.95,5.20
6.45,,5.60,6.02
6.45,,8.70,7.57
6.45,7.00,4.70,6.05
6.45,8.60,6.90,7.31
6.50,,4.20,5.35
6.50,,5.65,6.07
6.50,8.10,5.20,6.60
6.50,8.80,5.80,7.03
6.55,,2.00,4.27
6.55,,4.55,5.55
6.55,,5.60,6.07
6.55,,9.40,7.97
6.55,8.10,6.60,7.08
6.55,8.70,5.15,6.80
6.60,,4.90,5.75
6.60,,6.05,6.32
6.60,6.60,6.65,6.61
6.60,9.25,4.10,6.65
6.60,9.60,5.45,7.21
6.65,,3.10,4.87
6.65,,4.95,5.80
6.65,,6.10,6.37
6.65,8.45,3.70,6.26
6.70,,3.65,5.17
6.70,,4.90,5.80
6.70,,6.75,6.72
6.70,7.50,6.30,6.83
6.70,8.30,4.05,6.35
6.75,,3.40,5.07
6.75,,5.65,6.20
6.75,,6.50,6.62
6.75,8.00,4.10,6.28
6.75,9.00,5.10,6.95
6.75,9.80,7.25,7.93
6.80,,3.65,5.22
6.80,,5.40,6.10
6.80,,6.75,6.77
6.80,8.75,7.60,7.71
6.80,8.85,7.00,7.55
6.85,,3.20,5.02
6.85,,5.85,6.35
6.85,,6.40,6.62
6.85,7.85,6.10,6.93
6.85,9.70,3.80,6.78
6.90,,3.25,5.07
6.90,,5.80,6.35
6.90,,6.55,6.72
6.90,8.15,5.95,7.00
6.90,9.05,7.25,7.73
6.95,,3.10,5.02
6.95,,5.85,6.40
6.95,,6.20,6.57
6.95,7.70,6.00,6.88
7.00,,2.65,4.82
7.00,,6.00,6.50
7.00,,6.15,6.57
7.00,,9.15,8.07
7.00,4.75,7.30,6.35
7.00,5.25,4.00,5.41
7.00,9.20,6.80,7.66
7.05,,5.80,6.42
7.05,,6.35,6.70
7.05,,8.80,7.92
7.05,8.55,5.30,6.96
7.05,8.80,6.65,7.50
7.10,,5.85,6.47
7.10,,5.90,6.50
7.10,,8.85,7.97
7.10,7.20,5.90,6.73
7.10,8.00,8.15,7.75
7.10,9.05,7.95,8.03
7.15,,5.20,6.17
7.15,,5.85,6.50
7.15,,8.20,7.67
7.15,6.85,6.20,6.73
7.15,8.65,7.15,7.65
7.15,9.30,5.25,7.23
7.20,,5.25,6.22
7.20,,5.30,6.25
7.20,,8.25,7.72
7.20,8.75,7.40,7.78
7.20,8.85,6.00,7.35
7.25,,4.60,5.92
7.25,,5.35,6.30
7.25,,7.60,7.42
7.25,7.75,5.50,6.83
7.25,9.20,6.90,7.78
7.25,9.55,6.60,7.80
7.30,,4.55,5.92
7.30,,4.70,6.00
7.30,,7.55,7.42
7.30,8.25,6.45,7.33
7.30,9.95,8.20,8.48
7.35,,3.90,5.62
7.35,,4.55,5.95
7.35,,6.90,7.12
7.35,5.30,7.75,6.80
7.35,9.00,6.50,7.61
7.40,,3.35,5.37
7.40,,4.00,5.70
7.40,,6.45,6.92
7.40,4.50,5.10,5.66
7.40,8.25,7.90,7.85
7.40,8.90,8.70,8.33
7.45,,2.70,5.07
7.45,,3.35,5.40
7.45,,5.90,6.67
7.45,,8.90,8.17
7.45,8.35,5.00,6.93
7.45,9.00,5.75,7.40
7.45,9.40,8.40,8.41
7.50,,1.50,4.50
7.50,,5.65,6.57
7.50,,8.65,8.07
7.50,,9.10,8.30
7.50,8.50,4.50,6.83
7.55,,5.00,6.27
7.55,,8.00,7.77
7.55,,8.45,8.00
7.55,7.35,6.50,7.13
7.55,8.30,6.20,7.35
7.55,9.50,5.65,7.56
7.60,,4.85,6.22
7.60,,7.85,7.72
7.60,,8.10,7.85
7.60,8.55,7.55,7.90
7.60,9.40,6.80,7.93
7.65,,4.20,5.92
7.65,,7.30,7.47
7.65,,7.95,7.80
7.65,8.10,5.75,7.16
7.65,8.90,7.30,7.95
7.65,9.80,7.20,8.21
7.70,,3.75,5.72
7.70,,6.75,7.22
7.70,,7.20,7.45
7.70,8.80,4.90,7.13
7.70,9.15,7.15,8.00
7.75,,3.00,5.37
7.75,,6.40,7.07
7.75,,7.25,7.50
7.75,,9.40,8.57
7.75,5.80,7.65,7.06
7.75,9.15,8.85,8.58
7.80,,6.15,6.97
7.80,,6.60,7.20
7.80,,9.15,8.47
7.80,5.90,6.05,6.58
7.80,7.75,6.50,7.35
7.80,9.30,5.05,7.38
7.85,,5.50,6.67
7.85,,6.15,7.00
7.85,,8.50,8.17
7.85,7.50,3.25,6.20
7.85,8.25,6.95,7.68
7.85,9.45,9.25,8.85
7.85,9.55,7.30,8.23
7.90,,5.20,6.55
7.90,,5.35,6.62
7.90,,8.35,8.12
7.90,8.40,4.90,7.06
7.90,9.50,7.45,8.28
7.95,,4.60,6.27
7.95,,4.95,6.45
7.95,,7.60,7.77
7.95,5.80,5.00,6.25
7.95,8.10,6.10,7.38
7.95,9.50,9.05,8.83
8.00,,3.90,5.95
8.00,,4.35,6.17
8.00,,7.45,7.72
8.00,,9.90,8.95
8.00,7.45,7.65,7.70
8.00,8.85,8.75,8.53
8.00,9.95,7.70,8.55
8.05,,3.70,5.87
8.05,,6.70,7.37
8.05,,9.25,8.65
8.05,10.00,8.00,8.68
8.05,9.00,6.45,7.83
8.05,9.45,6.95,8.15
8.10,,3.05,5.57
8.10,,6.35,7.22
8.10,,8.70,8.40
8.10,,9.35,8.72
8.10,5.50,8.65,7.41
8.10,8.90,7.10,8.03
8.10,9.40,8.90,8.80
8.10,9.70,9.30,9.03
8.15,,5.40,6.77
8.15,,8.40,8.27
8.15,,8.55,8.35
8.15,8.65,7.55,8.11
8.15,9.60,7.85,8.53
8.15,9.75,6.70,8.20
8.20,,4.65,6.42
8.20,,7.60,7.90
8.20,,7.65,7.92
8.20,8.80,6.60,7.86
8.20,9.50,7.65,8.45
8.25,,3.50,5.87
8.25,,6.80,7.52
8.25,,7.45,7.85
8.25,,9.80,9.02
8.25,7.30,7.75,7.76
8.25,9.00,9.35,8.86
8.30,,6.35,7.32
8.30,,6.50,7.40
8.30,,9.25,8.77
8.30,2.50,6.25,5.68
8.30,7.25,6.80,7.45
8.30,8.90,6.10,7.76
8.30,9.55,8.45,8.76
8.35,,5.80,7.07
8.35,,6.15,7.25
8.35,,8.80,8.57
8.35,5.80,5.50,6.55
8.35,8.15,6.80,7.76
8.35,9.40,8.30,8.68
8.40,,5.30,6.85
8.40,,5.35,6.87
8.40,,8.35,8.37
8.40,6.80,4.45,6.55
8.40,8.00,8.70,8.36
8.40,9.30,8.05,8.58
8.45,,4.90,6.67
8.45,,5.25,6.85
8.45,,7.90,8.17
8.45,7.20,8.10,7.91
8.45,7.35,9.25,8.35
8.45,9.10,4.70,7.41
8.50,,4.60,6.55
8.50,,4.85,6.67
8.50,,7.85,8.17
8.50,6.05,5.90,6.81
8.50,6.65,9.00,8.05
8.50,9.30,7.50,8.43
8.50,9.70,9.70,9.30
8.55,,4.45,6.50
8.55,,4.50,6.52
8.55,,7.50,8.02
8.55,8.65,6.50,7.90
8.55,8.65,8.20,8.46
8.55,9.70,7.30,8.51
8.60,,4.10,6.35
8.60,,4.15,6.37
8.60,,7.15,7.87
8.60,7.85,6.50,7.65
8.60,8.65,7.70,8.31
8.60,9.55,8.90,9.01
8.65,,2.75,5.70
8.65,,3.50,6.07
8.65,,6.80,7.72
8.65,,9.80,9.22
8.65,,9.85,9.25
8.65,7.45,7.00,7.70
8.65,8.60,7.90,8.38
8.65,9.65,8.75,9.01
8.65,9.85,9.10,9.20
8.70,,7.35,8.02
8.70,,9.80,9.25
8.70,9.25,7.65,8.53
8.70,9.70,8.55,8.98
8.75,,3.90,6.32
8.75,,7.00,7.87
8.75,,9.75,9.25
8.75,5.95,8.55,7.75
8.75,9.05,9.40,9.06
8.75,9.85,7.25,8.61
8.80,,4.15,6.47
8.80,,7.75,8.27
8.80,,9.70,9.25
8.80,7.05,6.65,7.50
8.80,9.00,6.90,8.23
8.80,9.75,7.15,8.56
8.85,,4.50,6.67
8.85,,7.70,8.27
8.85,,9.95,9.40
8.85,6.70,8.60,8.05
8.85,9.35,7.40,8.53
8.85,9.55,8.60,9.00
8.85,9.80,8.75,9.13
8.90,,4.75,6.82
8.90,,7.85,8.37
8.90,,9.70,9.30
8.90,8.95,6.70,8.18
8.90,9.55,7.65,8.70
8.90,9.95,8.95,9.26
8.95,,4.30,6.62
8.95,,7.20,8.07
8.95,9.05,8.35,8.78
8.95,9.90,8.65,9.16
8.95,9.90,8.75,9.20
9.00,,3.75,6.37
9.00,,3.80,6.40
9.00,,7.65,8.32
9.00,9.10,8.40,8.83
9.00,9.40,8.90,9.10
9.00,9.80,8.40,9.06
9.05,,4.35,6.70
9.05,,4.50,6.77
9.05,,7.80,8.42
9.05,8.90,9.70,9.21
9.05,9.10,6.90,8.35
9.05,9.75,7.85,8.88
9.10,,5.35,7.22
9.10,,5.60,7.35
9.10,,8.35,8.72
9.10,8.60,6.90,8.20
9.10,8.65,9.35,9.03
9.10,9.60,8.85,9.18
9.10,9.85,9.85,9.60
9.15,,5.70,7.42
9.15,,6.75,7.95
9.15,,8.70,8.92
9.15,8.60,9.50,9.08
9.15,9.75,8.15,9.01
9.15,9.80,9.40,9.45
9.20,,6.95,8.07
9.20,,7.40,8.30
9.20,,9.95,9.57
9.20,8.95,9.20,9.11
9.20,9.80,8.45,9.15
9.20,9.80,9.25,9.41
9.25,,8.00,8.62
9.25,,8.85,9.05
9.25,9.30,9.70,9.41
9.25,9.85,5.65,8.25
9.30,,6.15,7.72
9.30,,9.15,9.22
9.30,,9.60,9.45
9.30,8.40,8.15,8.61
9.30,9.65,8.45,9.13
9.35,,7.40,8.37
9.35,7.80,8.50,8.55
9.35,9.35,8.55,9.08
9.40,,5.75,7.57
9.40,,5.80,7.60
9.40,,8.85,9.12
9.40,8.35,5.60,7.78
9.40,8.75,9.15,9.10
9.40,9.65,8.45,9.16
9.45,,7.20,8.32
9.45,,7.75,8.60
9.45,7.60,7.05,8.03
9.45,9.40,9.35,9.40
9.45,9.55,8.95,9.31
9.50,,5.35,7.42
9.50,,8.75,9.12
9.50,,9.30,9.40
9.50,9.40,9.25,9.38
9.50,9.70,9.30,9.50
9.55,,7.30,8.42
9.55,9.40,9.75,9.56
9.55,9.65,6.15,8.45
9.60,,6.45,8.02
9.60,,7.60,8.60
9.60,,9.55,9.57
9.60,10.00,9.75,9.78
9.65,,8.90,9.27
9.65,,9.85,9.75
9.65,10.00,8.50,9.38
9.65,8.50,7.05,8.40
9.65,9.95,9.90,9.83
9.70,,8.35,9.02
9.70,9.80,8.60,9.36
9.75,,8.00,8.87
9.75,,8.75,9.25
9.75,9.25,9.80,9.60
9.75,9.70,9.40,9.61
9.80,,8.15,8.97
9.85,,8.40,9.12
9.85,,8.85,9.35
9.85,8.10,9.25,9.06
9.90,,9.25,9.57
