media_v_viii,nota_finala_romana,nota_finala_matematica,media
7.27,3.95,3.05,3.50
7.27,4.70,5.50,5.10
7.27,5.60,4.50,5.05
7.28,2.70,3.00,2.85
7.28,3.55,5.50,4.52
7.28,4.40,3.55,3.97
7.28,5.45,3.50,4.47
7.29,2.60,2.00,2.30
7.29,3.30,2.50,2.90
7.29,4.10,4.50,4.30
7.29,4.80,2.50,3.65
7.29,5.95,5.70,5.82
7.30,2.85,3.00,2.92
7.30,3.50,6.50,5.00
7.30,4.35,4.60,4.47
7.30,5.00,5.05,5.02
7.30,6.90,3.50,5.20
7.31,2.80,3.50,3.15
7.31,3.50,4.10,3.80
7.31,4.20,3.50,3.85
7.31,4.95,5.00,4.97
7.31,5.75,6.65,6.20
7.32,2.65,4.00,3.32
7.32,3.35,2.50,2.92
7.32,3.90,3.00,3.45
7.32,4.55,6.50,5.52
7.32,5.45,4.70,5.07
7.33,2.35,2.50,2.42
7.33,3.25,2.50,2.87
7.33,3.85,4.10,3.97
7.33,4.55,3.50,4.02
7.33,5.20,2.00,3.60
7.34,2.00,2.00,2.00
7.34,2.95,5.50,4.22
7.34,3.60,3.50,3.55
7.34,4.35,4.50,4.42
7.34,5.30,5.00,5.15
7.35,2.50,2.50,2.50
7.35,3.35,4.50,3.92
7.35,4.05,4.05,4.05
7.35,4.60,5.00,4.80
7.35,5.30,6.50,5.90
7.36,2.00,3.05,2.52
7.36,3.10,2.55,2.82
7.36,4.05,4.00,4.02
7.36,4.70,5.00,4.85
7.36,5.60,5.00,5.30
7.37,2.80,3.50,3.15
7.37,3.50,3.00,3.25
7.37,4.45,5.00,4.72
7.37,5.15,3.50,4.32
7.37,6.90,4.35,5.62
7.38,2.90,4.00,3.45
7.38,3.60,6.00,4.80
7.38,4.25,6.00,5.12
7.38,4.80,6.00,5.40
7.38,5.75,4.00,4.87
7.39,2.60,2.00,2.30
7.39,3.60,4.00,3.80
7.39,4.45,4.00,4.22
7.39,5.00,3.00,4.00
7.39,6.10,3.50,4.80
7.40,2.90,3.50,3.20
7.40,3.55,2.00,2.77
7.40,4.15,5.50,4.82
7.40,4.95,3.75,4.35
7.40,5.90,4.20,5.05
7.41,2.90,4.50,3.70
7.41,3.55,4.50,4.02
7.41,4.20,2.50,3.35
7.41,4.90,2.55,3.72
7.41,5.55,4.10,4.82
7.42,2.40,4.00,3.20
7.42,3.35,4.50,3.92
7.42,4.10,4.00,4.05
7.42,4.70,3.00,3.85
7.42,5.40,4.50,4.95
7.43,2.40,2.00,2.20
7.43,3.10,5.10,4.10
7.43,3.95,4.00,3.97
7.43,4.50,2.50,3.50
7.43,5.05,3.00,4.02
7.43,5.65,5.60,5.62
7.44,2.50,3.50,3.00
7.44,3.30,4.00,3.65
7.44,4.00,5.00,4.50
7.44,4.80,4.70,4.75
7.44,5.30,5.00,5.15
7.45,2.30,4.50,3.40
7.45,3.10,2.00,2.55
7.45,3.80,3.10,3.45
7.45,4.35,2.00,3.17
7.45,4.90,3.50,4.20
7.45,5.40,5.55,5.47
7.45,7.10,6.85,6.97
7.46,3.05,5.00,4.02
7.46,3.70,6.00,4.85
7.46,4.15,6.80,5.47
7.46,4.85,4.10,4.47
7.46,5.50,3.70,4.60
7.46,6.50,6.25,6.37
7.47,3.10,5.00,4.05
7.47,3.80,4.55,4.17
7.47,4.40,4.65,4.52
7.47,5.10,4.00,4.55
7.47,5.85,4.20,5.02
7.48,2.75,3.50,3.12
7.48,3.65,4.50,4.07
7.48,4.30,4.00,4.15
7.48,4.95,5.50,5.22
7.48,5.55,6.55,6.05
7.49,2.50,3.50,3.00
7.49,3.55,4.00,3.77
7.49,4.20,3.50,3.85
7.49,4.75,3.00,3.87
7.49,5.30,4.05,4.67
7.49,6.05,5.50,5.77
7.50,2.55,3.50,3.02
7.50,3.50,3.05,3.27
7.50,4.30,3.50,3.90
7.50,4.80,5.20,5.00
7.50,5.35,5.20,5.27
7.50,9.05,8.45,8.75
7.51,3.20,4.00,3.60
7.51,3.95,6.00,4.97
7.51,4.65,3.65,4.15
7.51,5.20,4.65,4.92
7.51,6.05,3.55,4.80
7.52,3.00,3.00,3.00
7.52,3.75,3.00,3.37
7.52,4.35,3.10,3.72
7.52,4.95,3.50,4.22
7.52,5.65,5.55,5.60
7.53,2.90,3.00,2.95
7.53,3.65,3.50,3.57
7.53,4.30,4.30,4.30
7.53,4.85,5.60,5.22
7.53,5.30,3.50,4.40
7.53,7.70,6.85,7.27
7.54,3.00,4.00,3.50
7.54,3.70,5.50,4.60
7.54,4.20,3.05,3.62
7.54,4.55,6.35,5.45
7.54,5.25,4.50,4.87
7.54,6.00,3.50,4.75
7.55,2.80,3.00,2.90
7.55,3.65,2.50,3.07
7.55,4.20,2.95,3.57
7.55,4.75,4.90,4.82
7.55,5.20,4.50,4.85
7.55,5.85,5.65,5.75
7.56,2.60,4.50,3.55
7.56,3.55,3.50,3.52
7.56,4.25,5.55,4.90
7.56,4.85,4.30,4.57
7.56,5.30,3.80,4.55
7.56,5.90,5.75,5.82
7.57,2.80,2.50,2.65
7.57,3.60,3.50,3.55
7.57,4.15,3.60,3.87
7.57,4.70,3.50,4.10
7.57,5.20,4.50,4.85
7.57,5.95,5.00,5.47
7.58,2.75,6.00,4.37
7.58,3.60,3.75,3.67
7.58,4.25,2.50,3.37
7.58,4.90,2.55,3.72
7.58,5.40,5.80,5.60
7.58,6.45,3.10,4.77
7.59,3.00,2.50,2.75
7.59,3.60,2.50,3.05
7.59,4.25,5.50,4.87
7.59,4.75,2.50,3.62
7.59,5.15,4.00,4.57
7.59,5.90,2.50,4.20
7.60,2.60,2.00,2.30
7.60,3.50,3.05,3.27
7.60,4.00,5.10,4.55
7.60,4.75,4.50,4.62
7.60,5.25,7.00,6.12
7.60,5.75,4.00,4.87
7.60,7.35,3.50,5.42
7.61,3.35,3.00,3.17
7.61,3.90,4.00,3.95
7.61,4.50,3.00,3.75
7.61,5.00,4.50,4.75
7.61,5.60,4.55,5.07
7.61,6.45,4.05,5.25
7.62,2.80,2.00,2.40
7.62,3.55,3.00,3.27
7.62,4.35,3.00,3.67
7.62,4.65,2.50,3.57
7.62,5.00,5.90,5.45
7.62,5.80,5.00,5.40
7.62,7.40,6.10,6.75
7.63,3.10,6.50,4.80
7.63,3.90,5.60,4.75
7.63,4.55,2.50,3.52
7.63,5.10,5.00,5.05
7.63,5.55,5.50,5.52
7.63,7.15,6.75,6.95
7.64,3.20,3.00,3.10
7.64,4.10,5.00,4.55
7.64,4.60,4.60,4.60
7.64,5.15,4.60,4.87
7.64,5.85,7.20,6.52
7.64,7.90,7.35,7.62
7.65,3.30,4.00,3.65
7.65,4.10,1.50,2.80
7.65,4.60,5.55,5.07
7.65,5.00,4.50,4.75
7.65,5.30,2.50,3.90
7.65,5.90,6.95,6.42
7.66,2.60,4.50,3.55
7.66,3.65,6.50,5.07
7.66,4.40,6.05,5.22
7.66,4.85,4.55,4.70
7.66,5.45,4.00,4.72
7.66,6.20,2.50,4.35
7.67,2.80,3.50,3.15
7.67,3.50,3.00,3.25
7.67,4.10,2.50,3.30
7.67,4.65,4.50,4.57
7.67,5.00,5.20,5.10
7.67,5.35,5.00,5.17
7.67,6.15,3.50,4.82
7.68,2.95,5.00,3.97
7.68,3.85,5.10,4.47
7.68,4.40,2.55,3.47
7.68,5.00,3.50,4.25
7.68,5.35,2.50,3.92
7.68,5.90,6.75,6.32
7.68,7.35,4.00,5.67
7.69,3.25,2.00,2.62
7.69,4.05,5.50,4.77
7.69,4.65,5.70,5.17
7.69,5.30,7.30,6.30
7.69,6.20,5.05,5.62
7.70,2.80,3.00,2.90
7.70,3.40,6.05,4.72
7.70,4.10,4.50,4.30
7.70,4.55,4.00,4.27
7.70,5.05,5.00,5.02
7.70,5.55,6.50,6.02
7.70,6.65,7.25,6.95
7.71,2.95,3.00,2.97
7.71,3.80,3.00,3.40
7.71,4.45,5.50,4.97
7.71,4.90,3.50,4.20
7.71,5.25,4.70,4.97
7.71,5.55,6.50,6.02
7.71,6.25,4.40,5.32
7.72,2.80,3.50,3.15
7.72,3.60,4.00,3.80
7.72,4.20,6.00,5.10
7.72,4.75,5.20,4.97
7.72,5.20,5.00,5.10
7.72,5.75,7.00,6.37
7.72,6.95,8.30,7.62
7.73,3.20,2.50,2.85
7.73,3.85,3.00,3.42
7.73,4.40,4.65,4.52
7.73,4.85,4.00,4.42
7.73,5.35,5.60,5.47
7.73,5.95,4.20,5.07
7.73,8.10,4.95,6.52
7.74,3.40,2.50,2.95
7.74,4.05,3.50,3.77
7.74,4.50,2.70,3.60
7.74,5.05,3.85,4.45
7.74,5.40,4.50,4.95
7.74,6.25,6.50,6.37
7.75,2.80,6.70,4.75
7.75,3.60,4.50,4.05
7.75,4.25,3.00,3.62
7.75,4.75,5.20,4.97
7.75,5.15,4.50,4.82
7.75,5.70,5.70,5.70
7.75,6.70,6.50,6.60
7.76,2.90,3.50,3.20
7.76,3.85,3.10,3.47
7.76,4.45,3.50,3.97
7.76,4.90,4.85,4.87
7.76,5.25,3.00,4.12
7.76,5.60,4.15,4.87
7.76,6.20,6.55,6.37
7.77,2.75,3.50,3.12
7.77,4.05,5.15,4.60
7.77,4.40,6.50,5.45
7.77,5.05,3.60,4.32
7.77,5.45,7.00,6.22
7.77,5.85,6.05,5.95
7.77,6.90,3.50,5.20
7.78,3.20,3.00,3.10
7.78,4.05,3.55,3.80
7.78,4.40,4.50,4.45
7.78,4.80,3.00,3.90
7.78,5.20,3.50,4.35
7.78,5.60,4.55,5.07
7.78,6.10,4.80,5.45
7.79,1.40,4.00,2.70
7.79,3.55,2.50,3.02
7.79,4.25,4.50,4.37
7.79,4.70,6.00,5.35
7.79,5.10,6.70,5.90
7.79,5.55,4.70,5.12
7.79,6.10,6.40,6.25
7.79,7.85,5.20,6.52
7.80,3.35,2.55,2.95
7.80,4.05,2.50,3.27
7.80,4.55,4.00,4.27
7.80,5.15,3.55,4.35
7.80,5.60,4.30,4.95
7.80,5.95,6.15,6.05
7.80,7.00,5.00,6.00
7.81,3.20,4.15,3.67
7.81,4.30,2.50,3.40
7.81,4.75,4.00,4.37
7.81,5.10,5.35,5.22
7.81,5.45,5.50,5.47
7.81,6.30,4.60,5.45
7.82,2.95,6.05,4.50
7.82,3.80,3.00,3.40
7.82,4.30,2.50,3.40
7.82,4.70,5.00,4.85
7.82,5.15,4.50,4.82
7.82,5.55,5.30,5.42
7.82,6.10,6.00,6.05
7.82,6.95,7.00,6.97
7.83,3.20,3.55,3.37
7.83,3.90,5.40,4.65
7.83,4.50,3.65,4.07
7.83,4.90,6.70,5.80
7.83,5.35,4.00,4.67
7.83,5.80,5.35,5.57
7.83,6.55,4.00,5.27
7.84,2.95,4.00,3.47
7.84,3.80,3.00,3.40
7.84,4.60,3.00,3.80
7.84,5.00,4.50,4.75
7.84,5.45,5.40,5.42
7.84,5.75,3.05,4.40
7.84,6.30,5.10,5.70
7.85,2.25,2.00,2.12
7.85,3.55,3.50,3.52
7.85,4.15,3.75,3.95
7.85,4.65,6.00,5.32
7.85,5.05,3.25,4.15
7.85,5.35,7.00,6.17
7.85,5.75,4.15,4.95
7.85,6.50,5.20,5.85
7.86,2.30,2.00,2.15
7.86,3.70,3.00,3.35
7.86,4.25,3.50,3.87
7.86,4.80,5.00,4.90
7.86,5.25,4.00,4.62
7.86,5.65,4.65,5.15
7.86,6.25,6.65,6.45
7.87,2.45,2.00,2.22
7.87,3.70,4.50,4.10
7.87,4.35,6.10,5.22
7.87,4.70,5.50,5.10
7.87,5.10,3.00,4.05
7.87,5.45,2.50,3.97
7.87,5.85,7.10,6.47
7.87,6.80,6.95,6.87
7.88,2.85,5.00,3.92
7.88,3.75,3.50,3.62
7.88,4.45,4.50,4.47
7.88,4.95,3.00,3.97
7.88,5.30,4.50,4.90
7.88,5.80,5.55,5.67
7.88,6.35,3.60,4.97
7.88,8.70,7.65,8.17
7.89,3.55,5.65,4.60
7.89,4.35,3.00,3.67
7.89,4.70,5.25,4.97
7.89,5.05,6.00,5.52
7.89,5.45,5.15,5.30
7.89,5.80,4.15,4.97
7.89,6.35,2.50,4.42
7.90,2.70,4.00,3.35
7.90,3.90,2.60,3.25
7.90,4.40,4.50,4.45
7.90,4.80,4.70,4.75
7.90,5.25,5.00,5.12
7.90,5.60,4.50,5.05
7.90,6.00,3.50,4.75
7.90,6.55,7.20,6.87
7.91,2.95,6.00,4.47
7.91,3.85,5.50,4.67
7.91,4.55,4.50,4.52
7.91,5.00,5.00,5.00
7.91,5.45,5.00,5.22
7.91,5.90,5.05,5.47
7.91,6.55,6.50,6.52
7.92,3.00,3.50,3.25
7.92,4.00,2.50,3.25
7.92,4.50,4.05,4.27
7.92,4.85,7.00,5.92
7.92,5.35,4.00,4.67
7.92,5.75,6.50,6.12
7.92,6.15,6.00,6.07
7.92,7.35,4.65,6.00
7.93,3.35,5.15,4.25
7.93,4.40,2.50,3.45
7.93,4.80,4.50,4.65
7.93,5.05,5.10,5.07
7.93,5.35,4.55,4.95
7.93,5.80,3.00,4.40
7.93,6.40,5.00,5.70
7.94,2.50,4.50,3.50
7.94,3.50,4.05,3.77
7.94,4.30,4.50,4.40
7.94,4.75,5.50,5.12
7.94,5.10,5.00,5.05
7.94,5.40,4.10,4.75
7.94,5.95,7.05,6.50
7.94,6.50,4.50,5.50
7.95,2.25,2.50,2.37
7.95,3.85,6.35,5.10
7.95,4.50,3.50,4.00
7.95,4.90,2.00,3.45
7.95,5.25,3.50,4.37
7.95,5.55,5.55,5.55
7.95,6.00,6.20,6.10
7.95,6.50,4.90,5.70
7.96,2.75,3.50,3.12
7.96,3.80,2.55,3.17
7.96,4.65,3.50,4.07
7.96,5.05,5.80,5.42
7.96,5.30,4.20,4.75
7.96,5.65,7.00,6.32
7.96,6.15,4.60,5.37
7.96,7.10,3.00,5.05
7.97,3.40,2.00,2.70
7.97,4.10,4.20,4.15
7.97,4.75,3.50,4.12
7.97,5.20,3.00,4.10
7.97,5.60,4.70,5.15
7.97,6.15,4.10,5.12
7.97,6.65,7.00,6.82
7.98,2.90,4.50,3.70
7.98,3.85,6.00,4.92
7.98,4.60,5.70,5.15
7.98,4.90,5.00,4.95
7.98,5.20,6.50,5.85
7.98,5.50,2.50,4.00
7.98,5.80,5.05,5.42
7.98,6.30,4.70,5.50
7.98,7.90,7.35,7.62
7.99,3.80,2.50,3.15
7.99,4.35,5.10,4.72
7.99,4.80,5.15,4.97
7.99,5.05,5.65,5.35
7.99,5.45,3.50,4.47
7.99,5.90,5.05,5.47
7.99,6.60,4.15,5.37
7.99,8.35,5.75,7.05
8.00,3.95,2.50,3.22
8.00,4.65,5.50,5.07
8.00,5.05,4.50,4.77
8.00,5.30,2.00,3.65
8.00,5.50,6.00,5.75
8.00,5.90,5.60,5.75
8.00,6.40,6.25,6.32
8.00,7.50,5.85,6.67
8.01,3.95,6.50,5.22
8.01,4.60,3.50,4.05
8.01,5.00,4.20,4.60
8.01,5.35,2.70,4.02
8.01,5.65,4.25,4.95
8.01,5.95,5.70,5.82
8.01,6.30,4.65,5.47
8.01,7.10,4.00,5.55
8.02,3.20,3.55,3.37
8.02,4.20,4.05,4.12
8.02,4.80,3.05,3.92
8.02,5.10,5.75,5.42
8.02,5.35,6.25,5.80
8.02,5.75,7.60,6.67
8.02,6.30,6.50,6.40
8.02,6.90,5.50,6.20
8.03,3.50,3.10,3.30
8.03,4.25,4.15,4.20
8.03,4.80,2.00,3.40
8.03,5.10,6.00,5.55
8.03,5.45,4.50,4.97
8.03,5.85,3.00,4.42
8.03,6.35,5.95,6.15
8.03,7.35,6.90,7.12
8.04,3.90,4.50,4.20
8.04,4.50,3.00,3.75
8.04,5.00,3.50,4.25
8.04,5.20,4.00,4.60
8.04,5.60,2.10,3.85
8.04,5.85,4.50,5.17
8.04,6.20,6.80,6.50
8.04,6.70,6.90,6.80
8.05,2.05,2.50,2.27
8.05,3.80,6.50,5.15
8.05,4.35,7.00,5.67
8.05,4.75,7.20,5.97
8.05,5.15,3.00,4.07
8.05,5.40,4.50,4.95
8.05,5.70,5.00,5.35
8.05,6.10,3.70,4.90
8.05,6.65,6.00,6.32
8.06,2.35,4.00,3.17
8.06,3.80,3.00,3.40
8.06,4.45,3.50,3.97
8.06,4.90,1.50,3.20
8.06,5.15,5.90,5.52
8.06,5.45,6.50,5.97
8.06,5.90,3.10,4.50
8.06,6.35,5.20,5.77
8.06,7.10,5.00,6.05
8.07,3.00,7.00,5.00
8.07,4.25,6.00,5.12
8.07,4.80,5.00,4.90
8.07,5.10,3.10,4.10
8.07,5.40,7.30,6.35
8.07,5.75,7.00,6.37
8.07,6.30,5.60,5.95
8.07,7.35,4.00,5.67
8.08,3.55,4.00,3.77
8.08,4.25,2.50,3.37
8.08,4.80,4.50,4.65
8.08,5.10,5.10,5.10
8.08,5.40,6.50,5.95
8.08,5.80,5.05,5.42
8.08,6.10,4.70,5.40
8.08,6.80,4.50,5.65
8.09,3.60,4.70,4.15
8.09,4.45,6.30,5.37
8.09,4.90,3.50,4.20
8.09,5.20,4.65,4.92
8.09,5.50,3.50,4.50
8.09,5.80,6.00,5.90
8.09,6.30,4.60,5.45
8.09,6.95,5.50,6.22
8.10,2.90,3.00,2.95
8.10,4.00,4.00,4.00
8.10,4.55,4.10,4.32
8.10,5.05,3.70,4.37
8.10,5.30,5.30,5.30
8.10,5.65,4.40,5.02
8.10,6.00,2.00,4.00
8.10,6.40,3.50,4.95
8.10,7.00,9.15,8.07
8.11,3.45,3.50,3.47
8.11,4.25,5.85,5.05
8.11,4.80,4.00,4.40
8.11,5.15,4.60,4.87
8.11,5.45,4.10,4.77
8.11,5.75,4.00,4.87
8.11,6.10,4.45,5.27
8.11,6.50,5.25,5.87
8.11,7.55,4.50,6.02
8.12,3.90,4.00,3.95
8.12,4.55,4.00,4.27
8.12,5.05,6.50,5.77
8.12,5.30,5.60,5.45
8.12,5.65,6.05,5.85
8.12,6.15,6.40,6.27
8.12,6.75,6.25,6.50
8.12,8.40,8.05,8.22
8.13,4.15,5.35,4.75
8.13,4.80,5.00,4.90
8.13,5.20,4.20,4.70
8.13,5.45,6.70,6.07
8.13,5.85,5.75,5.80
8.13,6.35,6.15,6.25
8.13,6.90,6.80,6.85
8.14,3.60,5.55,4.57
8.14,4.25,6.00,5.12
8.14,4.85,2.65,3.75
8.14,5.20,4.00,4.60
8.14,5.50,5.40,5.45
8.14,5.80,4.65,5.22
8.14,6.20,3.10,4.65
8.14,6.70,4.05,5.37
8.14,7.25,4.00,5.62
8.15,3.55,3.60,3.57
8.15,4.50,4.50,4.50
8.15,5.05,4.50,4.77
8.15,5.35,5.20,5.27
8.15,5.60,3.00,4.30
8.15,5.85,6.35,6.10
8.15,6.25,3.50,4.87
8.15,6.75,5.90,6.32
8.15,7.40,4.25,5.82
8.16,3.15,3.00,3.07
8.16,4.35,5.00,4.67
8.16,4.80,5.35,5.07
8.16,5.15,3.00,4.07
8.16,5.55,5.50,5.52
8.16,5.90,3.00,4.45
8.16,6.30,5.50,5.90
8.16,6.65,5.05,5.85
8.16,7.50,5.40,6.45
8.17,3.50,3.50,3.50
8.17,4.45,3.55,4.00
8.17,4.90,6.40,5.65
8.17,5.20,4.65,4.92
8.17,5.50,5.70,5.60
8.17,5.85,3.50,4.67
8.17,6.15,4.95,5.55
8.17,6.65,4.20,5.42
8.17,7.25,8.90,8.07
8.18,3.45,1.50,2.47
8.18,4.45,2.50,3.47
8.18,4.90,6.10,5.50
8.18,5.20,3.05,4.12
8.18,5.50,5.80,5.65
8.18,5.75,2.50,4.12
8.18,6.15,2.55,4.35
8.18,6.65,6.35,6.50
8.18,8.40,8.80,8.60
8.19,3.95,4.55,4.25
